ATTRIBUTE;COUNT FEMALE;COUNT MALE;P(FEMALE);P(MALE);P(PPBS)
brit;1;0;0.01;0.0;-0.01
rolle;1;0;0.019;0.0;-0.019
lisa;1;0;0.015;0.0;-0.015
##l;1;0;0.027;0.0;-0.027
solo;1;0;0.007;0.0;-0.007
grad;1;0;0.018;0.0;-0.018
##hver;1;0;0.011;0.0;-0.011
linné;1;0;0.024;0.0;-0.024
teddy;1;0;0.009;0.0;-0.009
familien;1;0;0.017;0.0;-0.017
grein;1;0;0.048;0.0;-0.048
fr;1;0;0.014;0.0;-0.014
julia;1;0;0.005;0.0;-0.005
vok;1;0;0.019;0.0;-0.019
bulgarien;1;0;0.043;0.0;-0.043
stat;1;0;0.041;0.0;-0.041
base;1;0;0.007;0.0;-0.007
tv;1;0;0.015;0.0;-0.015
planete;1;0;0.109;0.0;-0.109
mag;1;0;0.028;0.0;-0.028
barne;1;0;0.024;0.0;-0.024
mand;1;0;0.019;0.0;-0.019
sign;1;0;0.027;0.0;-0.027
seg;1;0;0.013;0.0;-0.013
irland;0;1;0.0;0.015;0.015
rory;0;1;0.0;0.01;0.01
gallagher;0;1;0.0;0.002;0.002
max;0;1;0.0;0.012;0.012
h;0;1;0.0;0.014;0.014
rom;0;1;0.0;0.012;0.012
dk;0;1;0.0;0.014;0.014
band;0;1;0.0;0.029;0.029
tom;0;1;0.0;0.011;0.011
parker;0;1;0.0;0.006;0.006
thor;0;1;0.0;0.006;0.006
oscar;0;1;0.0;0.003;0.003
##sel;0;1;0.0;0.028;0.028
hans;0;1;0.0;0.023;0.023
arm;0;1;0.0;0.017;0.017
tsar;0;1;0.0;0.006;0.006
bro;0;1;0.0;0.008;0.008
organisme;1;0;0.054;0.0;-0.054
vare;1;0;0.036;0.0;-0.036
størrelse;1;0;0.031;0.0;-0.031
hybrid;1;0;0.011;0.0;-0.011
italiensk;1;0;0.019;0.0;-0.019
femme;1;0;0.035;0.0;-0.035
##ka;1;0;0.025;0.0;-0.025
fille;1;0;0.019;0.0;-0.019
null;1;0;0.015;0.0;-0.015
romersk;0;1;0.0;0.022;0.022
elia;0;1;0.0;0.024;0.024
original;0;1;0.0;0.028;0.028
##kem;0;1;0.0;0.021;0.021
storesøster;1;0;0.013;0.0;-0.013
prosess;1;0;0.04;0.0;-0.04
illusjon;1;0;0.02;0.0;-0.02
lek;1;0;0.019;0.0;-0.019
jomfru;1;0;0.035;0.0;-0.035
myte;1;0;0.009;0.0;-0.009
slektning;1;0;0.013;0.0;-0.013
side;1;0;0.03;0.0;-0.03
nyere;1;0;0.017;0.0;-0.017
helgen;1;0;0.015;0.0;-0.015
bønn;0;1;0.0;0.014;0.014
stian;0;1;0.0;0.012;0.012
ulv;0;1;0.0;0.01;0.01
jotun;0;1;0.0;0.013;0.013
demon;0;1;0.0;0.02;0.02
ildsjel;0;1;0.0;0.01;0.01
folk;1;0;0.032;0.0;-0.032
kvinner;1;0;0.024;0.0;-0.024
nestleder;1;0;0.018;0.0;-0.018
skog;1;0;0.044;0.0;-0.044
elin;1;0;0.037;0.0;-0.037
selvfølge;1;0;0.019;0.0;-0.019
marit;1;0;0.077;0.0;-0.077
same;1;0;0.038;0.0;-0.038
øy;1;0;0.022;0.0;-0.022
trend;1;0;0.027;0.0;-0.027
lagkamerat;0;1;0.0;0.03;0.03
sjef;0;1;0.0;0.017;0.017
kompis;0;1;0.0;0.025;0.025
team;0;1;0.0;0.03;0.03
kristoffer;0;1;0.0;0.062;0.062
journalister;0;1;0.0;0.016;0.016
kasper;0;1;0.0;0.035;0.035
divisjon;0;1;0.0;0.089;0.089
eliteserie;0;1;0.0;0.025;0.025
utfordring;0;1;0.0;0.025;0.025
dette;0;1;0.0;0.032;0.032
nå;0;1;0.0;0.025;0.025
forventet;0;1;0.0;0.066;0.066
hjemme;0;1;0.0;0.052;0.052
fortjent;0;1;0.0;0.026;0.026
redningsmann;0;1;0.0;0.015;0.015
vanskelig;0;1;0.0;0.013;0.013
farge;1;0;0.039;0.0;-0.039
forskjell;1;0;0.022;0.0;-0.022
menneskerett;1;0;0.018;0.0;-0.018
helg;1;0;0.054;0.0;-0.054
årstid;1;0;0.023;0.0;-0.023
oppsummering;1;0;0.021;0.0;-0.021
stripper;1;0;0.034;0.0;-0.034
bruksanvisning;0;1;0.0;0.018;0.018
sådan;0;1;0.0;0.017;0.017
velsignelse;0;1;0.0;0.017;0.017
lillebror;0;1;0.0;0.048;0.048
blanding;0;1;0.0;0.025;0.025
gruppeleder;0;1;0.0;0.052;0.052
